canal_ingreso,tipo_tarjeta,pais_transaccion,categoria_comercio,edad_cliente,antiguedad_meses,saldo_promedio_usd,monto_usd,hora_transaccion,num_transacciones_24h,num_transacciones_7d,distancia_comercio_km,score_velocidad,ratio_monto_promedio,es_fraude,mes_transaccion,anio_transaccion
POS,Credito_clasica,Ecuador,Otro,69,74,2811.8,78.44,17,9,13,4.4,50.6,0.521,0,2,2023
Cajero_ATM,Credito_gold,Ecuador,Restaurante,58,41,1532.65,48.41,18,10,44,0.3,65.0,0.559,0,12,2023
App_movil,Debito,Ecuador,Transferencia,41,77,1500.59,32.26,13,6,21,8.1,95.6,0.379,0,6,2023
Cajero_ATM,Debito,Ecuador,Supermercado,19,131,3045.09,69.5,19,1,41,2.4,76.5,0.428,0,7,2023
Sucursal,Credito_gold,Ecuador,Supermercado,57,114,373.63,208.11,5,6,46,3.4,40.5,7.256,0,5,2023
POS,Credito_gold,Mexico,Supermercado,37,52,2451.69,217.02,7,1,19,24.1,74.8,1.637,0,1,2023
Banca_en_linea,Debito,Ecuador,Supermercado,51,162,3896.37,169.9,6,13,39,7.0,95.0,0.83,0,1,2023
Sucursal,Credito_gold,Ecuador,Transferencia,60,177,4603.75,44.99,19,12,48,,49.9,0.187,0,3,2023
Cajero_ATM,Debito,Ecuador,Supermercado,43,156,667.42,138.04,17,4,22,9.1,41.0,3.183,0,2,2023
Sucursal,Credito_clasica,Panama,Restaurante,24,87,5892.76,131.84,17,14,20,2.3,7.8,0.433,0,5,2023
Banca_en_linea,Debito,USA,Supermercado,55,109,2868.85,104.32,14,8,37,0.8,89.2,0.68,0,12,2023
POS,Credito_gold,Chile,Restaurante,47,141,5539.6,124.77,19,5,31,0.2,24.6,0.435,0,10,2023
Cajero_ATM,Credito_gold,USA,Supermercado,59,69,1860.33,106.53,21,5,10,,6.4,1.034,1,6,2023
App_movil,Debito,Ecuador,Ropa,22,120,2152.4,130.02,18,13,18,12.9,53.7,1.105,0,7,2023
Sucursal,Credito_gold,Ecuador,Supermercado,28,67,6484.45,193.56,21,10,43,16.1,84.6,0.579,0,4,2023
Banca_en_linea,Credito_clasica,Peru,Transferencia,18,61,5954.2,22.42,20,11,39,39.6,40.7,0.073,1,7,2023
Cajero_ATM,Debito,Ecuador,Entretenimiento,51,71,1686.25,212.72,20,8,46,26.8,78.3,2.255,0,11,2023
Cajero_ATM,Debito,Colombia,Supermercado,73,152,1001.93,26.91,1,8,20,13.4,83.6,0.448,1,8,2023
Banca_en_linea,Debito,Ecuador,Transferencia,18,151,1448.77,15.34,7,1,18,,45.4,0.186,0,11,2023
App_movil,Debito,Ecuador,Supermercado,36,30,1426.59,564.95,20,13,11,,59.1,6.946,0,1,2023
Cajero_ATM,Credito_clasica,Ecuador,Restaurante,19,146,1045.22,476.95,10,13,22,1.1,53.4,7.66,0,6,2023
Banca_en_linea,Credito_gold,Colombia,Supermercado,38,96,981.92,14.35,17,5,44,8.5,93.9,0.243,0,8,2023
Cajero_ATM,Credito_clasica,USA,Gasolinera,37,56,5134.34,92.85,22,12,18,8.6,72.6,0.348,0,5,2023
Sucursal,Debito,Ecuador,Electronica,40,53,381.06,35.91,12,5,34,30.4,92.5,1.236,0,4,2023
Cajero_ATM,Debito,Ecuador,Entretenimiento,38,7,3029.99,104.64,8,8,23,5.8,22.0,0.648,0,2,2023
Banca_en_linea,Debito,Ecuador,Gasolinera,41,97,674.33,270.95,8,1,1,11.7,31.0,,0,6,2023
Cajero_ATM,Credito_clasica,Ecuador,Viaje,21,113,1255.91,456.21,16,7,10,8.6,7.1,6.267,0,6,2023
Banca_en_linea,Credito_gold,Ecuador,Restaurante,29,125,358.8,155.87,6,7,1,1.9,50.0,5.579,0,11,2023
Sucursal,Debito,Ecuador,Viaje,39,132,986.69,70.52,8,13,38,,,,0,1,2023
Banca_en_linea,Credito_gold,Ecuador,Restaurante,37,162,3857.09,143.7,21,9,39,7.8,32.7,0.708,0,9,2023
Cajero_ATM,Credito_gold,Ecuador,Supermercado,35,161,5607.39,61.1,0,2,49,,12.8,0.21,0,12,2023
Sucursal,Credito_clasica,Ecuador,Restaurante,18,121,826.05,365.9,1,3,9,7.2,6.8,7.132,0,11,2023
Sucursal,Credito_gold,Ecuador,Restaurante,47,38,1756.94,311.5,3,4,31,1.8,44.8,3.184,0,6,2023
Cajero_ATM,Credito_clasica,Ecuador,Electronica,50,122,1788.72,127.55,13,1,7,6.2,16.4,1.283,1,3,2023
Sucursal,Credito_clasica,Ecuador,Transferencia,41,26,5370.27,63.91,3,7,17,9.3,,0.229,0,4,2023
POS,Credito_clasica,Ecuador,Supermercado,31,129,3797.12,57.09,1,14,35,6.7,82.0,0.286,0,12,2023
Cajero_ATM,Credito_clasica,Colombia,Viaje,53,4,1999.12,10.1,7,10,48,,38.4,0.092,0,11,2023
Sucursal,Debito,Ecuador,Ropa,22,39,2977.32,258.78,17,3,37,0.8,61.0,1.629,0,4,2023
App_movil,Debito,Ecuador,Transferencia,28,54,4899.1,94.78,18,3,18,2.1,50.2,0.372,0,3,2023
Banca_en_linea,Debito,Ecuador,Restaurante,41,161,223.96,63.99,13,3,33,3.9,71.9,3.019,0,10,2023
Cajero_ATM,Credito_clasica,Peru,Electronica,48,33,1489.13,100.55,19,8,4,5.4,15.6,1.191,0,3,2023
Cajero_ATM,Debito,Panama,Transferencia,72,20,6144.43,261.17,9,9,23,9.0,92.0,0.823,0,3,2023
Sucursal,Credito_platinum,USA,Ropa,30,16,3570.7,24.96,16,10,11,19.9,64.4,0.132,0,4,2023
POS,Credito_gold,Peru,Gasolinera,33,149,2156.81,297.43,7,13,9,1.7,27.1,2.524,0,7,2023
App_movil,Credito_clasica,Ecuador,Supermercado,41,173,2085.67,346.7,13,14,30,0.2,12.3,3.034,0,4,2023
Banca_en_linea,Debito,Peru,Restaurante,30,127,1268.4,444.8,20,2,8,6.0,15.0,,0,9,2023
App_movil,Credito_gold,Colombia,Farmacia,41,87,2037.64,81.0,22,10,40,5.7,78.3,0.724,0,1,2023
App_movil,Credito_gold,Ecuador,Viaje,71,82,2863.31,41.72,7,10,5,8.0,58.8,0.272,0,8,2023
Banca_en_linea,Credito_gold,Ecuador,Supermercado,43,62,1554.77,75.17,4,1,12,,38.1,,0,7,2023
Cajero_ATM,Debito,Ecuador,Farmacia,19,31,3330.75,65.73,15,14,1,,33.3,0.372,0,2,2023
Sucursal,Credito_clasica,Mexico,Farmacia,33,42,5137.38,34.07,7,9,15,1.1,85.6,,0,8,2023
Banca_en_linea,Debito,Ecuador,Electronica,55,12,620.11,145.19,9,6,25,27.2,87.5,,0,1,2023
Sucursal,Debito,USA,Viaje,63,65,1701.63,102.12,7,14,18,1.2,58.1,1.074,0,11,2023
Banca_en_linea,Credito_gold,Ecuador,Transferencia,18,73,1510.71,306.15,8,9,38,10.1,52.5,3.579,0,12,2023
Cajero_ATM,Credito_gold,Ecuador,Gasolinera,66,131,3107.6,9.9,17,6,42,11.2,81.6,0.06,0,9,2023
Cajero_ATM,Credito_clasica,Ecuador,Transferencia,28,115,918.76,159.87,2,2,46,11.4,74.9,2.858,0,9,2023
Banca_en_linea,Credito_gold,Ecuador,Supermercado,68,137,2755.87,220.92,16,1,26,3.1,40.0,1.495,0,2,2023
POS,Credito_clasica,Panama,Supermercado,52,106,5448.89,218.75,19,14,40,4.0,8.3,0.774,0,7,2023
Cajero_ATM,Credito_clasica,Colombia,Restaurante,60,179,1553.78,330.83,14,8,3,8.0,76.9,3.773,0,10,2023
Sucursal,Debito,Ecuador,Supermercado,46,16,6248.24,200.86,20,3,22,2.2,16.9,0.623,0,3,2023
App_movil,Credito_platinum,USA,Restaurante,54,78,12663.79,399.27,16,1,26,0.2,1.6,0.621,0,7,2023
Sucursal,Debito,Ecuador,Supermercado,34,125,480.38,65.67,7,8,19,8.3,84.3,1.93,0,12,2023
Banca_en_linea,Credito_platinum,Argentina,Entretenimiento,71,131,863.34,109.94,1,12,44,,57.8,2.068,0,10,2023
Sucursal,Credito_gold,Ecuador,Supermercado,56,152,7708.39,7.13,16,1,44,10.7,89.2,0.018,0,9,2023
Sucursal,Debito,Ecuador,Viaje,59,141,8144.8,6.05,17,8,47,1.6,48.5,0.015,0,4,2023
Banca_en_linea,Credito_clasica,Ecuador,Supermercado,45,130,457.04,46.19,4,1,39,18.4,92.6,1.406,0,12,2023
Cajero_ATM,Credito_gold,Ecuador,Otro,46,112,237.78,20.94,8,9,36,,35.4,0.957,0,1,2023
Sucursal,Credito_clasica,Ecuador,Viaje,60,127,639.16,50.21,8,14,21,22.2,72.5,1.197,0,2,2023
POS,Credito_platinum,Colombia,Supermercado,20,21,14011.65,34.23,1,9,41,6.0,30.1,0.048,1,1,2023
Cajero_ATM,Credito_platinum,Panama,Entretenimiento,69,147,696.13,9.34,1,12,48,8.0,0.1,0.208,1,12,2023
App_movil,Credito_clasica,USA,Electronica,27,89,1945.64,365.04,18,13,26,22.7,38.0,3.403,0,5,2023
POS,Credito_clasica,Ecuador,Entretenimiento,59,47,4916.57,6.24,22,9,13,3.6,73.8,0.024,0,5,2023
Sucursal,Credito_platinum,Ecuador,Farmacia,31,150,251.53,204.82,2,3,36,2.0,15.0,9.072,0,11,2023
POS,Credito_gold,Ecuador,Ropa,29,161,2518.94,29.76,16,4,24,5.9,50.5,0.219,0,7,2023
Sucursal,Debito,Ecuador,Entretenimiento,64,160,1010.95,369.95,13,5,41,2.8,21.2,6.11,0,9,2023
Banca_en_linea,Debito,Peru,Gasolinera,59,85,5157.33,339.95,13,6,26,7.5,7.5,,0,9,2023
Banca_en_linea,Credito_clasica,Ecuador,Supermercado,47,167,1033.31,164.15,13,9,21,3.2,61.7,2.662,1,3,2023
Banca_en_linea,Credito_platinum,Ecuador,Transferencia,49,128,3101.93,172.32,5,13,18,20.0,95.2,1.044,0,3,2023
App_movil,Credito_gold,Ecuador,Gasolinera,49,72,3003.83,5.8,2,11,15,9.3,31.1,0.036,0,3,2023
App_movil,Credito_gold,Argentina,Electronica,59,42,825.95,633.68,0,12,15,,58.1,12.353,1,4,2023
Banca_en_linea,Debito,Ecuador,Supermercado,49,9,288.55,320.35,15,4,6,16.4,,13.114,0,8,2023
Sucursal,Debito,Ecuador,Electronica,43,25,1515.9,343.22,3,14,43,4.0,65.0,4.0,0,6,2023
App_movil,Credito_gold,Ecuador,Otro,68,2,1053.39,166.49,0,14,31,3.9,67.3,2.657,0,8,2023
App_movil,Debito,Ecuador,Restaurante,18,19,4338.41,68.42,16,6,28,,,0.302,0,1,2023
Banca_en_linea,Debito,Ecuador,Gasolinera,73,20,4228.15,341.15,17,13,8,9.9,49.3,1.541,0,8,2023
App_movil,Debito,Ecuador,Viaje,59,70,1726.73,56.69,7,1,29,5.8,36.7,0.588,0,4,2023
Cajero_ATM,Credito_gold,USA,Entretenimiento,19,17,2531.76,129.07,1,2,21,9.9,47.1,0.945,0,11,2023
Banca_en_linea,Credito_platinum,Ecuador,Gasolinera,34,124,2517.49,20.76,17,8,17,1.6,80.1,0.153,0,1,2023
Cajero_ATM,Debito,Colombia,Restaurante,47,89,4588.45,387.57,15,4,49,35.1,46.1,1.619,1,8,2023
Cajero_ATM,Credito_clasica,Argentina,Otro,73,94,1583.47,27.76,9,10,24,13.1,6.3,0.311,0,4,2023
Banca_en_linea,Credito_clasica,USA,Ropa,56,84,1005.5,43.21,7,7,36,2.9,90.6,0.717,0,6,2023
App_movil,Credito_platinum,Ecuador,Supermercado,24,131,969.83,127.51,11,4,31,12.9,54.5,2.18,0,8,2023
Cajero_ATM,Debito,Ecuador,Supermercado,69,87,2120.71,221.65,21,14,47,8.6,92.4,1.91,0,4,2023
Sucursal,Credito_clasica,Colombia,Electronica,44,51,1690.72,149.88,15,9,34,1.2,,1.585,0,3,2023
Banca_en_linea,Credito_clasica,Peru,Restaurante,26,82,1650.09,44.62,11,9,2,,7.0,0.482,0,9,2023
POS,Credito_gold,Ecuador,Restaurante,39,154,438.9,5.14,10,4,42,0.4,55.3,0.161,0,3,2023
POS,Credito_clasica,Colombia,Transferencia,51,8,3369.98,217.3,19,13,3,16.6,57.6,1.217,0,9,2023
Cajero_ATM,Debito,Ecuador,Supermercado,63,165,801.16,637.04,18,8,30,8.0,21.4,12.726,0,2,2023
Banca_en_linea,Credito_clasica,Ecuador,Viaje,66,121,748.36,254.04,0,6,8,3.8,47.1,5.357,0,2,2023
Cajero_ATM,Credito_gold,Ecuador,Restaurante,18,155,1530.8,97.49,2,1,7,1.4,45.9,1.127,0,2,2023
App_movil,Debito,Ecuador,Entretenimiento,26,173,846.21,356.15,11,7,12,6.6,62.3,6.808,0,6,2023
App_movil,Credito_gold,Ecuador,Viaje,37,4,2391.82,84.11,8,1,19,7.4,26.0,0.649,0,3,2023
Banca_en_linea,Debito,Colombia,Supermercado,70,86,1360.9,116.65,20,3,26,12.1,58.2,1.495,0,9,2023
App_movil,Credito_clasica,Ecuador,Electronica,36,128,1689.65,102.26,21,8,28,35.0,24.1,1.082,0,4,2023
Banca_en_linea,Credito_clasica,Ecuador,Supermercado,53,110,2125.98,94.03,4,9,15,5.7,44.6,0.809,0,1,2023
Cajero_ATM,Credito_gold,Ecuador,Transferencia,57,99,768.93,228.88,0,3,14,5.2,12.3,4.724,0,4,2023
App_movil,Credito_clasica,Ecuador,Transferencia,62,37,623.27,117.23,9,1,48,4.6,3.7,2.848,0,1,2023
Banca_en_linea,Credito_gold,Ecuador,Gasolinera,21,71,5509.46,62.13,16,1,14,17.5,32.1,,0,5,2023
App_movil,Credito_gold,Peru,Electronica,26,33,1621.68,49.79,3,7,3,1.7,27.5,0.547,0,4,2023
Banca_en_linea,Credito_clasica,USA,Restaurante,58,31,1527.97,10.77,14,5,29,4.2,40.7,0.125,1,8,2023
POS,Credito_gold,USA,Viaje,39,125,290.65,136.27,18,13,6,12.9,96.2,5.555,0,8,2023
Cajero_ATM,Credito_gold,Colombia,Gasolinera,35,12,1922.77,44.2,7,14,49,0.2,52.2,,0,7,2023
Banca_en_linea,Debito,Ecuador,Restaurante,29,11,2219.54,29.05,22,1,23,3.4,55.3,0.24,0,3,2023
App_movil,Credito_clasica,Ecuador,Electronica,59,88,2245.87,164.12,14,6,28,,94.2,1.342,0,1,2023
Banca_en_linea,Credito_platinum,Ecuador,Supermercado,60,72,3269.22,176.48,6,14,14,,92.1,1.017,0,1,2023
POS,Debito,Ecuador,Viaje,56,32,688.46,214.24,14,6,14,,88.4,4.823,0,12,2023
App_movil,Credito_gold,Chile,Supermercado,26,57,926.63,110.05,7,14,20,6.7,,1.954,0,11,2023
App_movil,Credito_platinum,Ecuador,Ropa,23,166,4361.46,341.72,22,4,13,5.5,63.4,1.498,0,3,2023
Sucursal,Debito,Ecuador,Restaurante,36,86,7551.72,418.14,9,7,27,1.1,,1.079,0,6,2023
POS,Credito_gold,Mexico,Restaurante,65,19,565.26,252.05,17,7,35,27.8,83.6,6.587,0,7,2023
POS,Credito_clasica,Chile,Ropa,64,116,1921.14,156.42,3,12,45,0.5,57.8,1.475,0,6,2023
App_movil,Credito_clasica,USA,Otro,24,14,802.56,59.3,14,9,2,13.9,1.7,1.183,1,6,2023
App_movil,Debito,Ecuador,Entretenimiento,33,33,354.88,615.7,10,12,41,0.7,97.4,22.192,0,6,2023
Cajero_ATM,Debito,Ecuador,Restaurante,22,10,1184.47,53.06,21,1,45,6.3,47.2,0.767,0,3,2023
Cajero_ATM,Credito_gold,Ecuador,Supermercado,33,80,587.8,38.97,2,5,40,1.9,39.4,0.989,0,6,2023
App_movil,Credito_gold,Ecuador,Transferencia,18,64,3294.11,92.55,14,10,48,1.5,39.5,0.53,0,8,2023
Cajero_ATM,Credito_gold,Ecuador,Electronica,68,68,2107.45,13.78,2,3,24,,42.4,0.119,0,11,2023
Banca_en_linea,Credito_clasica,Ecuador,Supermercado,54,92,588.23,580.92,14,7,29,6.0,24.2,14.74,0,11,2023
Banca_en_linea,Debito,Chile,Transferencia,56,125,223.21,138.17,5,4,3,7.2,32.7,,0,2,2023
Banca_en_linea,Credito_gold,Ecuador,Entretenimiento,36,171,4327.7,127.11,0,4,45,,98.5,0.561,0,5,2023
Sucursal,Debito,Peru,Otro,71,80,684.55,164.98,13,13,4,38.8,36.8,3.73,0,1,2023
POS,Credito_platinum,Peru,Transferencia,54,59,2529.89,108.08,15,12,2,3.0,52.7,0.792,0,12,2023
Cajero_ATM,Credito_gold,Ecuador,Transferencia,34,97,1227.16,9.89,0,1,20,6.1,84.8,0.139,1,1,2023
App_movil,Credito_gold,Peru,Supermercado,43,19,2401.62,147.13,20,1,15,2.4,52.7,1.131,1,5,2023
Sucursal,Credito_platinum,Ecuador,Supermercado,39,149,1148.23,193.91,16,10,49,6.8,32.4,2.877,0,12,2023
Cajero_ATM,Debito,Ecuador,Farmacia,25,22,427.38,85.87,7,2,32,14.1,52.4,2.737,0,3,2023
Sucursal,Credito_gold,Peru,Farmacia,50,9,830.63,217.39,17,2,42,7.4,11.4,4.219,0,4,2023
Banca_en_linea,Debito,Ecuador,Electronica,19,9,720.82,43.62,15,1,1,3.4,13.0,0.947,0,3,2023
Banca_en_linea,Credito_platinum,Argentina,Gasolinera,47,27,1596.63,42.51,5,8,38,2.9,69.4,0.473,0,1,2023
POS,Debito,Ecuador,Electronica,64,17,2884.44,31.41,9,6,35,14.2,91.7,0.204,0,1,2023
Banca_en_linea,Credito_gold,Colombia,Farmacia,37,172,965.65,74.78,9,6,7,1.3,72.6,1.283,0,12,2023
App_movil,Credito_gold,Ecuador,Supermercado,35,45,230.36,286.61,4,10,45,4.6,7.5,13.32,0,12,2023
Sucursal,Debito,Ecuador,Restaurante,60,8,2029.39,268.96,11,10,13,,40.3,2.413,0,5,2023
Cajero_ATM,Credito_clasica,Ecuador,Electronica,74,146,2526.99,77.39,19,9,49,,0.3,0.568,0,6,2023
App_movil,Credito_gold,Colombia,Viaje,27,125,8433.36,138.42,16,5,1,1.7,51.1,0.321,0,3,2023
POS,Credito_clasica,USA,Supermercado,41,123,2425.77,196.38,13,4,14,21.8,19.3,1.496,0,12,2023
Cajero_ATM,Debito,Panama,Farmacia,73,33,1792.73,46.4,13,11,29,13.2,86.8,,0,9,2023
Sucursal,Debito,Ecuador,Viaje,21,1,2329.78,32.61,2,6,3,8.2,,0.258,0,5,2023
App_movil,Debito,USA,Electronica,54,6,6774.27,541.85,11,8,46,2.5,0.1,1.554,0,8,2023
App_movil,Credito_gold,Peru,Supermercado,21,41,4606.15,149.18,19,14,24,7.1,45.1,0.621,1,1,2023
App_movil,Credito_clasica,Peru,Electronica,30,5,1175.13,602.82,17,1,1,,15.5,8.767,0,5,2023
Banca_en_linea,Debito,Ecuador,Restaurante,42,80,877.08,66.82,11,7,48,8.9,73.8,1.241,0,3,2023
POS,Credito_clasica,Colombia,Transferencia,30,18,961.68,187.12,1,8,10,0.6,92.0,3.222,0,12,2023
POS,Credito_clasica,USA,Supermercado,35,177,1955.07,42.77,1,9,13,,4.2,0.397,1,1,2023
App_movil,Debito,Ecuador,Ropa,41,82,3606.93,50.41,16,11,36,6.3,39.6,0.265,0,4,2023
Sucursal,Credito_clasica,USA,Supermercado,19,65,1949.02,112.59,9,8,9,26.1,99.7,,0,5,2023
App_movil,Debito,Colombia,Electronica,65,83,375.51,62.77,17,7,14,0.1,73.3,2.181,0,7,2023
Banca_en_linea,Debito,Ecuador,Farmacia,50,136,3414.59,32.52,21,3,36,2.8,95.3,,0,1,2023
App_movil,Credito_gold,Ecuador,Restaurante,36,131,4299.36,50.75,18,2,10,1.1,16.4,0.226,0,3,2023
App_movil,Debito,Ecuador,Electronica,26,25,1054.46,10.46,20,3,40,14.7,22.1,0.167,0,2,2023
App_movil,Credito_clasica,Ecuador,Supermercado,45,69,2927.55,187.82,0,4,23,3.9,15.5,1.201,0,9,2023
Sucursal,Credito_clasica,Panama,Restaurante,52,168,1590.39,106.63,23,4,35,18.4,30.2,1.191,0,10,2023
Banca_en_linea,Credito_clasica,Ecuador,Ropa,74,82,5698.25,19.85,3,6,7,17.9,72.4,,0,6,2023
Cajero_ATM,Credito_gold,USA,Restaurante,56,178,4864.47,33.26,3,12,42,11.0,16.5,0.131,0,10,2023
Cajero_ATM,Credito_clasica,Panama,Transferencia,27,117,2063.38,21.23,1,7,35,11.0,52.4,,1,3,2023
Banca_en_linea,Credito_gold,Ecuador,Ropa,18,95,3140.13,147.24,18,12,2,12.0,26.9,0.882,0,8,2023
App_movil,Credito_gold,Panama,Electronica,59,33,5571.44,19.84,20,4,15,11.2,82.9,0.069,0,8,2023
App_movil,Credito_clasica,Argentina,Supermercado,38,111,1911.54,215.54,11,10,9,4.9,0.7,2.042,0,2,2023
App_movil,Credito_gold,Peru,Electronica,26,146,1139.47,8.11,9,6,47,11.5,22.3,0.121,0,6,2023
Banca_en_linea,Credito_clasica,USA,Entretenimiento,64,125,3702.67,48.03,12,9,17,22.8,60.5,0.246,0,7,2023
App_movil,Debito,Argentina,Restaurante,32,16,821.37,337.0,21,14,39,4.0,9.7,6.599,0,2,2023
Banca_en_linea,Debito,Colombia,Entretenimiento,52,80,1429.73,195.16,22,6,18,29.0,46.6,2.395,0,11,2023
Banca_en_linea,Debito,Ecuador,Restaurante,74,38,5219.71,16.37,19,14,15,,43.6,0.06,0,10,2023
App_movil,Credito_gold,Panama,Entretenimiento,22,169,3422.21,263.16,22,3,18,4.3,85.3,1.453,1,2,2023
Sucursal,Credito_gold,Colombia,Supermercado,58,135,1492.99,106.9,14,1,24,1.4,,1.263,0,10,2023
Banca_en_linea,Credito_platinum,Colombia,Transferencia,39,78,804.37,286.39,2,11,23,1.4,64.0,5.703,0,1,2023
Cajero_ATM,Credito_clasica,Ecuador,Electronica,58,63,1300.02,142.72,22,10,12,16.9,95.2,1.903,0,8,2023
Cajero_ATM,Credito_clasica,USA,Restaurante,40,112,1035.55,176.78,19,10,23,25.1,98.2,2.862,1,1,2023
Cajero_ATM,Debito,Ecuador,Restaurante,24,89,684.23,760.43,12,13,21,15.0,65.3,17.2,0,9,2023
App_movil,Credito_gold,Mexico,Electronica,73,160,3599.94,44.66,7,5,26,37.6,52.2,0.235,0,11,2023
Banca_en_linea,Credito_clasica,Ecuador,Otro,40,38,926.11,151.7,6,10,8,,60.8,2.694,0,6,2023
App_movil,Credito_platinum,Ecuador,Restaurante,61,150,1713.61,97.52,23,10,30,,,1.019,0,7,2023
Banca_en_linea,Debito,Ecuador,Supermercado,42,144,1418.83,11.04,7,3,34,7.4,98.7,0.136,0,10,2023
Cajero_ATM,Credito_clasica,Ecuador,Farmacia,44,52,10254.23,7.19,17,8,2,,70.5,0.014,0,7,2023
Banca_en_linea,Credito_gold,Peru,Electronica,58,29,1440.22,24.04,8,10,5,0.4,29.1,0.293,0,10,2023
Banca_en_linea,Credito_clasica,Mexico,Farmacia,23,144,408.41,162.08,5,1,31,54.2,5.8,5.328,0,3,2023
Banca_en_linea,Credito_clasica,Panama,Ropa,72,76,435.3,130.61,3,11,33,9.2,4.5,4.112,0,2,2023
Banca_en_linea,Credito_gold,Ecuador,Restaurante,51,145,2433.6,125.92,14,2,4,38.6,,0.956,0,9,2023
Sucursal,Debito,Ecuador,Transferencia,26,64,2486.75,9.86,4,3,6,4.5,23.3,0.073,0,8,2023
Cajero_ATM,Credito_gold,Panama,Electronica,66,91,1556.47,100.03,4,3,23,,41.5,1.139,0,12,2023
POS,Credito_clasica,Mexico,Supermercado,50,89,1613.4,392.79,6,12,45,14.0,21.5,4.332,0,10,2023
Banca_en_linea,Credito_gold,Ecuador,Viaje,68,13,338.6,81.02,8,8,19,15.7,63.1,3.009,0,7,2023
Sucursal,Credito_gold,Ecuador,Ropa,23,72,2017.0,152.09,6,5,43,2.7,21.1,1.372,0,9,2023
App_movil,Debito,Ecuador,Restaurante,54,5,1956.68,232.0,8,8,45,26.6,18.8,2.151,0,4,2023
App_movil,Debito,Mexico,Ropa,48,12,604.97,234.82,19,11,8,20.2,47.1,5.834,0,4,2023
Sucursal,Credito_platinum,Colombia,Restaurante,51,169,474.09,114.87,9,14,39,0.2,88.9,3.408,1,1,2023
App_movil,Credito_clasica,Ecuador,Electronica,58,3,529.75,297.74,3,11,13,1.4,,8.16,0,8,2023
App_movil,Credito_platinum,Ecuador,Transferencia,46,33,466.26,79.48,5,6,1,6.9,41.4,2.386,0,12,2023
App_movil,Debito,Mexico,Supermercado,31,121,2552.15,334.32,23,12,6,6.2,57.8,2.43,1,3,2023
App_movil,Credito_clasica,Ecuador,Gasolinera,53,50,746.89,46.21,13,2,7,12.3,25.7,0.976,0,7,2023
Cajero_ATM,Credito_gold,Ecuador,Entretenimiento,53,137,923.98,54.32,8,11,48,,35.3,0.967,0,12,2023
Banca_en_linea,Credito_platinum,Colombia,Otro,70,178,676.61,13.19,0,4,27,10.4,21.4,0.301,0,2,2023
App_movil,Debito,Ecuador,Electronica,32,29,8115.43,243.14,16,9,15,9.6,57.2,0.585,0,2,2023
App_movil,Credito_gold,Ecuador,Electronica,25,39,5020.97,85.95,12,4,34,2.7,69.7,0.329,0,7,2023
Sucursal,Credito_clasica,Panama,Farmacia,43,91,855.02,44.03,23,5,23,7.8,67.4,0.835,0,6,2023
App_movil,Debito,Mexico,Otro,53,100,1192.13,44.55,6,5,48,2.5,,,0,3,2023
POS,Credito_gold,Panama,Transferencia,65,173,788.97,352.5,8,10,49,1.6,78.0,7.129,0,9,2023
Banca_en_linea,Credito_gold,Mexico,Supermercado,38,17,1892.57,274.29,10,8,24,8.5,25.6,2.622,0,10,2023
Banca_en_linea,Credito_platinum,Colombia,Electronica,45,56,249.51,125.96,2,6,15,37.9,15.0,5.604,0,6,2023
Banca_en_linea,Credito_clasica,Panama,Electronica,21,46,2982.04,148.61,11,10,35,2.7,35.0,0.934,1,10,2023
Banca_en_linea,Debito,Ecuador,Entretenimiento,33,67,2051.43,101.46,20,7,4,4.4,,0.901,0,10,2023
Sucursal,Debito,Peru,Ropa,39,142,5922.67,79.55,2,6,44,,14.2,0.26,0,6,2023
Banca_en_linea,Credito_clasica,Argentina,Ropa,29,67,648.99,375.61,14,14,37,3.1,64.8,8.848,1,1,2023
Sucursal,Debito,Ecuador,Otro,33,23,4275.5,25.13,20,14,17,,86.3,0.112,0,4,2023
Banca_en_linea,Credito_gold,Ecuador,Supermercado,68,94,4125.07,86.31,9,14,31,12.1,29.3,0.399,0,10,2023
App_movil,Credito_clasica,Ecuador,Restaurante,57,151,540.07,68.37,0,5,38,0.4,45.0,1.848,0,6,2023
App_movil,Credito_platinum,Ecuador,Gasolinera,55,155,1471.07,108.42,13,5,10,31.5,22.8,1.298,0,6,2023
Banca_en_linea,Credito_platinum,Ecuador,Gasolinera,59,54,666.28,96.77,19,3,27,0.5,36.1,2.234,0,11,2023
App_movil,Credito_clasica,Panama,Supermercado,54,138,934.99,114.75,5,7,42,,,2.022,0,12,2023
Banca_en_linea,Credito_platinum,Argentina,Supermercado,46,77,963.75,27.61,1,13,6,22.5,95.4,0.475,1,5,2023
Cajero_ATM,Credito_gold,Ecuador,Viaje,35,16,2231.16,112.97,22,10,6,7.4,41.6,0.929,0,1,2023
Banca_en_linea,Credito_clasica,Ecuador,Transferencia,27,41,1525.07,46.64,7,5,15,1.5,78.9,0.541,0,8,2023
Cajero_ATM,Debito,Ecuador,Electronica,59,98,7578.47,35.56,0,7,4,8.3,,0.091,0,5,2023
Banca_en_linea,Credito_clasica,Mexico,Farmacia,56,128,537.75,15.05,3,2,48,9.9,81.2,0.408,0,12,2023
App_movil,Credito_clasica,Ecuador,Restaurante,35,61,9294.72,220.73,3,9,40,19.5,86.0,0.465,0,12,2023
App_movil,Credito_gold,Ecuador,Entretenimiento,18,86,855.49,88.65,4,8,7,8.0,71.5,1.68,0,12,2023
